111.16;110.20;526442.38
111.17;110.13;556974.86
111.26;110.20;540856.10
111.26;110.13;573577.56
111.18;110.07;589320.17
111.27;110.07;606987.13
111.18;110.00;624463.10
111.35;110.20;562777.62
111.36;110.13;593467.14
111.44;110.20;582127.48
110.88;110.20;498980.39
110.89;110.13;525952.49
110.98;110.20;505275.31
110.99;110.13;533360.87
110.90;110.07;553821.38
110.99;110.07;561823.20
110.91;110.00;583050.99
111.07;110.20;516087.97
111.08;110.13;543104.53
111.00;110.00;594563.36
111.08;110.07;574132.14
111.09;110.00;606051.68
109.82;110.00;648870.59
109.80;110.07;622946.29
109.89;110.07;605819.29
109.88;110.13;578487.60
109.97;110.13;563856.96
109.96;110.20;534246.26
110.05;110.20;523232.02
109.79;110.13;596193.31
109.86;110.20;550595.81
109.77;110.20;568047.89
110.33;110.20;499057.82
110.23;110.20;504547.65
110.25;110.13;530923.94
110.16;110.13;538790.93
110.14;110.20;513195.04
110.06;110.13;548992.55
110.17;110.07;564131.30
110.08;110.07;573953.32
110.09;110.00;598592.53
109.91;110.00;627717.11
109.99;110.07;587949.33
110.00;110.00;612175.73
110.18;110.00;587170.79
110.26;110.07;554949.09
110.27;110.00;579182.69
110.35;110.07;548568.78
110.36;110.00;573369.24
110.34;110.13;523894.73
110.61;110.20;490983.68
110.51;110.20;491680.14
110.53;110.13;516947.96
110.43;110.13;519384.71
110.42;110.20;494312.97
110.44;110.07;544428.79
110.45;110.00;569269.64
110.54;110.07;541970.39
110.55;110.00;567271.71
110.63;110.07;541879.61
110.64;110.00;568111.29
110.62;110.13;516287.81
110.70;110.20;491411.11
110.71;110.13;517269.31
110.72;110.07;543279.38
110.79;110.20;494809.16
110.80;110.13;520258.02
110.73;110.00;571037.99
110.81;110.07;547375.37
110.82;110.00;575002.25
111.27;110.00;649569.00
111.36;110.07;632281.40
111.36;110.00;672936.44
111.45;110.07;663099.92
111.45;110.00;712068.35
111.45;110.13;620716.34
111.54;110.20;609459.15
111.54;110.13;653442.78
111.54;110.07;698648.76
111.63;110.20;652018.11
111.63;110.13;693520.06
111.72;110.20;693593.43
111.55;110.00;765325.08
111.63;110.07;751306.96
111.64;110.00;813141.31
111.73;110.07;839691.30
111.73;110.00;956053.58
111.72;110.13;763416.04
111.81;110.20;710817.72
111.82;110.13;801324.23
111.82;110.07;889299.77
111.91;110.20;764390.08
111.91;110.13;837349.98
112.00;110.20;856238.09
111.82;110.00;1055589.05
111.91;110.07;1034138.41
111.91;110.00;1245024.33
112.00;110.07;1319967.27
112.00;110.00;1539603.72
112.00;110.13;1100358.63
109.68;110.20;586744.88
109.70;110.13;624221.83
109.60;110.13;648622.73
109.58;110.20;614063.90
109.51;110.13;677162.29
109.49;110.20;642921.92
109.62;110.07;681703.76
109.53;110.07;709243.86
109.55;110.00;739840.99
109.64;110.00;702032.19
109.71;110.07;648862.39
109.73;110.00;674245.93
109.27;110.00;918668.08
109.36;110.00;842608.13
109.35;110.07;833005.28
109.44;110.07;759815.80
109.45;110.00;788690.09
109.42;110.13;737378.31
109.25;110.07;853572.00
109.33;110.13;776547.67
109.40;110.20;668542.14
109.23;110.13;786690.99
109.31;110.20;712237.27
109.21;110.20;773724.01
108.18;110.00;670172.18
108.25;110.07;652535.07
108.15;110.07;632341.30
108.22;110.13;614592.20
108.31;110.13;636166.13
108.28;110.20;599111.50
108.38;110.20;619682.11
108.13;110.13;596564.21
108.19;110.20;576989.03
108.10;110.20;562182.19
108.00;110.20;550143.15
108.03;110.13;581049.01
107.94;110.13;568904.95
107.91;110.20;537845.04
107.85;110.13;559194.99
107.82;110.20;529809.97
107.97;110.07;600257.91
107.88;110.07;589290.46
107.91;110.00;620515.68
108.00;110.00;634394.04
108.06;110.07;614655.43
108.09;110.00;648639.13
107.64;110.00;596574.82
107.73;110.00;602228.92
107.70;110.07;573394.01
107.79;110.07;580080.63
107.82;110.00;609237.64
107.76;110.13;551232.22
107.60;110.07;568989.05
107.66;110.13;545531.30
107.73;110.20;523316.81
107.57;110.13;542008.05
107.63;110.20;517929.99
107.54;110.20;515341.06
107.45;110.20;513737.06
107.48;110.13;540226.36
107.39;110.13;540063.27
107.35;110.20;514378.68
107.30;110.13;542073.52
107.26;110.20;516682.00
107.42;110.07;565979.76
107.33;110.07;567329.68
107.36;110.00;592816.32
107.45;110.00;591494.20
107.51;110.07;566273.73
107.55;110.00;592645.09
107.09;110.00;609047.83
107.18;110.00;600243.87
107.15;110.07;577037.06
107.24;110.07;570782.64
107.27;110.00;595588.35
107.20;110.13;546321.76
107.05;110.07;584615.24
107.11;110.13;551877.87
107.17;110.20;519839.32
107.02;110.13;560042.55
107.08;110.20;526937.21
106.98;110.20;534903.64
106.89;110.20;544137.30
106.93;110.13;572150.68
106.83;110.13;585120.90
106.80;110.20;559690.68
106.74;110.13;601562.92
106.70;110.20;575125.46
106.87;110.07;610679.14
106.78;110.07;626458.94
106.82;110.00;650843.22
106.91;110.00;631848.49
106.96;110.07;595682.30
107.00;110.00;619819.70
108.73;110.00;978790.79
108.80;110.07;926373.29
108.70;110.07;881609.99
108.77;110.13;842884.92
108.86;110.13;879589.41
108.84;110.20;800288.62
108.93;110.20;882751.21
108.68;110.13;800014.41
108.75;110.20;746336.88
108.65;110.20;721549.01
108.56;110.20;683565.57
108.59;110.13;734678.11
108.50;110.13;696613.94
108.47;110.20;645061.00
108.40;110.13;664811.88
108.52;110.07;748408.90
108.43;110.07;712335.33
108.45;110.00;764075.07
108.55;110.00;815357.47
108.61;110.07;799816.24
108.64;110.00;865014.24
108.27;110.00;696715.51
108.34;110.07;679125.25
108.36;110.00;722538.60
109.12;110.20;828491.67
109.14;110.13;976919.06
109.05;110.13;975362.26
109.03;110.20;841906.38
108.96;110.13;1073786.65
109.07;110.07;1199199.20
108.98;110.07;1258743.64
109.00;110.00;1495282.93
109.09;110.00;1325624.14
109.16;110.07;1031658.18
109.18;110.00;1085716.10
108.82;110.00;1106924.07
108.89;110.07;1091565.93
108.91;110.00;1324130.54
106.55;110.00;734409.71
106.64;110.00;697143.09
106.60;110.07;679249.84
106.69;110.07;649259.43
106.73;110.00;673451.35
106.65;110.13;626315.98
106.51;110.07;708241.89
106.56;110.13;650746.25
106.61;110.20;592695.08
106.46;110.13;681063.54
106.52;110.20;621956.75
